Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Total,Seats Remaining,Has WL,Units,
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","25029","Classical Civilization (CLCIV) Open Sections"," 121","002","C C Sem Comp","REC","P R","","T","","TH","","","","01/03/2018","04/17/2018","1-230PM","2047 RUTHVEN","Wood","  18","  18","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","25031","Classical Civilization (CLCIV) Open Sections"," 121","003","C C Sem Comp","REC","P R","","T","","TH","","","","01/03/2018","04/17/2018","4-530PM","1507 CCL","Wood","  18","  18","Y","4.00",
"Winter 2018","Second 7 Week Session","Literature, Science & the Arts","20400","Classical Civilization (CLCIV) Open Sections"," 125","001","Mini Crse in CLCIV","LEC","P  ","M","","W","","","","","03/05/2018","04/17/2018","1-2PM","B3560 BUS","Terrenato","  35","  35","Y","1.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31545","Classical Civilization (CLCIV) Open Sections"," 217","001","Medical Terminology","LEC","P  ","","","W","","","","","01/03/2018","04/17/2018","9-10AM","UMMA AUD","Fortson"," 160"," 160","Y","1.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","25862","Classical Civilization (CLCIV) Open Sections"," 253","001","Mediterran: Classics","SEM","P  ","M","","W","","","","","01/03/2018","04/17/2018","12-1PM","5521 HH","Abell","  25","  25","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","25867","Classical Civilization (CLCIV) Open Sections"," 253","002","Mediterran: Classics","LEC","A  ","","","","","F","","","01/03/2018","04/17/2018","12-1PM","LEC RM 1 MLB","Abell, Kashdan, Chatterjee"," "," "," ","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","32263","Classical Civilization (CLCIV) Open Sections"," 369","001","Post-Aristotelian","REC","P  ","M","","W","","","","","01/03/2018","04/17/2018","1-230PM","2024 TISCH","","  25","  25","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","22434","Classical Civilization (CLCIV) Open Sections"," 375","002","War in Gk&Rom Civ","DIS","P  ","","","W","","F","","","01/03/2018","04/17/2018","12-1PM","3347 MH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","22435","Classical Civilization (CLCIV) Open Sections"," 375","003","War in Gk&Rom Civ","DIS","P  ","","T","","TH","","","","01/03/2018","04/17/2018","5-6PM","2163 AH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","22436","Classical Civilization (CLCIV) Open Sections"," 375","004","War in Gk&Rom Civ","DIS","P  ","","","W","","F","","","01/03/2018","04/17/2018","11-12PM","3448 MH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","22437","Classical Civilization (CLCIV) Open Sections"," 375","005","War in Gk&Rom Civ","DIS","P  ","","T","","TH","","","","01/03/2018","04/17/2018","12-1PM","5180B AH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","22438","Classical Civilization (CLCIV) Open Sections"," 375","006","War in Gk&Rom Civ","DIS","P  ","","T","","TH","","","","01/03/2018","04/17/2018","3-4PM","4151 USB","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","22439","Classical Civilization (CLCIV) Open Sections"," 375","007","War in Gk&Rom Civ","DIS","P  ","","","W","","F","","","01/03/2018","04/17/2018","12-1PM","5179 AH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","22441","Classical Civilization (CLCIV) Open Sections"," 375","009","War in Gk&Rom Civ","DIS","P  ","","T","","TH","","","","01/03/2018","04/17/2018","9-10AM","5179 AH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","25003","Classical Civilization (CLCIV) Open Sections"," 375","010","War in Gk&Rom Civ","DIS","P  ","","","W","","F","","","01/03/2018","04/17/2018","1-2PM","1096 EH","Haug","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","27673","Classical Civilization (CLCIV) Open Sections"," 375","011","War in Gk&Rom Civ","DIS","P  ","","T","","TH","","","","01/03/2018","04/17/2018","6-7PM","2163 AH","Haug","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","22409","Classical Civilization (CLCIV) Open Sections"," 375","001","War in Gk&Rom Civ","LEC","A  ","","T","","TH","","","","01/03/2018","04/17/2018","11-12PM","1210 CHEM","Haug"," "," "," ","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24238","Classical Civilization (CLCIV) Open Sections"," 385","002","Greek Mythology","DIS","P  ","","T","","","","","","01/03/2018","04/17/2018","4-5PM","130 TAP","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24249","Classical Civilization (CLCIV) Open Sections"," 385","003","Greek Mythology","DIS","P  ","","","W","","","","","01/03/2018","04/17/2018","10-11AM","2163 AH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24250","Classical Civilization (CLCIV) Open Sections"," 385","004","Greek Mythology","DIS","P  ","","","W","","","","","01/03/2018","04/17/2018","4-5PM","5521 HH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24251","Classical Civilization (CLCIV) Open Sections"," 385","005","Greek Mythology","DIS","P  ","","","","","F","","","01/03/2018","04/17/2018","12-1PM","130 TAP","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24252","Classical Civilization (CLCIV) Open Sections"," 385","006","Greek Mythology","DIS","P  ","","","","","F","","","01/03/2018","04/17/2018","11-12PM","2163 AH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24253","Classical Civilization (CLCIV) Open Sections"," 385","007","Greek Mythology","DIS","P  ","","","","TH","","","","01/03/2018","04/17/2018","9-10AM","5521 HH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24254","Classical Civilization (CLCIV) Open Sections"," 385","008","Greek Mythology","DIS","P  ","","","W","","","","","01/03/2018","04/17/2018","9-10AM","5179 AH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24255","Classical Civilization (CLCIV) Open Sections"," 385","009","Greek Mythology","DIS","P  ","","T","","","","","","01/03/2018","04/17/2018","6-7PM","3347 MH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24256","Classical Civilization (CLCIV) Open Sections"," 385","010","Greek Mythology","DIS","P  ","","","","TH","","","","01/03/2018","04/17/2018","4-5PM","5179 AH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24257","Classical Civilization (CLCIV) Open Sections"," 385","011","Greek Mythology","DIS","P  ","","","W","","","","","01/03/2018","04/17/2018","2-3PM","2163 AH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24258","Classical Civilization (CLCIV) Open Sections"," 385","012","Greek Mythology","DIS","P  ","","","","","F","","","01/03/2018","04/17/2018","12-1PM","49 UMMA","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24259","Classical Civilization (CLCIV) Open Sections"," 385","013","Greek Mythology","DIS","P  ","","","","TH","","","","01/03/2018","04/17/2018","5-6PM","1460 MH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","27624","Classical Civilization (CLCIV) Open Sections"," 385","014","Greek Mythology","DIS","P  ","","T","","","","","","01/03/2018","04/17/2018","5-6PM","1460 MH","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","27625","Classical Civilization (CLCIV) Open Sections"," 385","015","Greek Mythology","DIS","P  ","","","W","","","","","01/03/2018","04/17/2018","12-1PM","2163 AH","Forsdyke","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","27626","Classical Civilization (CLCIV) Open Sections"," 385","016","Greek Mythology","DIS","P  ","","","","TH","","","","01/03/2018","04/17/2018","6-7PM","1460 MH","Forsdyke","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","24237","Classical Civilization (CLCIV) Open Sections"," 385","001","Greek Mythology","LEC","A  ","","T","","TH","","","","01/03/2018","04/17/2018","230-4PM","AUD 3 MLB","Forsdyke"," "," "," ","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31546","Classical Civilization (CLCIV) Open Sections"," 473","001","Roman Decadence","LEC","P  ","M","","W","","","","","01/03/2018","04/17/2018","1-230PM","G160 AH","Caston","  25","  25","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11496","Greek (GREEK) Open Sections"," 102","001","Elem Greek II","REC","P R","M","T","W","TH","","","","01/03/2018","04/17/2018","9-10AM","2163 AH","Sells","  20","  20","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","22410","Greek (GREEK) Open Sections"," 103","001","Intens Elem Greek I","REC","P  ","M","","W","","","","","01/03/2018","04/17/2018","9-11AM","5180B AH","Berlin","  20","  20","Y","6.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","22410","Greek (GREEK) Open Sections"," 103","001","Intens Elem Greek I","REC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","9-10AM","2271 AH","","  20","  20","Y","6.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11497","Greek (GREEK) Open Sections"," 302","001","2nd Year Greek II","REC","P  ","M","T","W","TH","","","","01/03/2018","04/17/2018","11-12PM","1303 MH","Janko","  17","  17","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","27056","Greek (GREEK) Open Sections"," 308","001","Acts Apostles","LEC","P  ","M","T","W","TH","","","","01/03/2018","04/17/2018","12-1PM","3448 MH","Forsdyke","  20","  20","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11498","Greek (GREEK) Open Sections"," 402","001","Greek Drama","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","1130-1PM","1507 CCL","Schironi","  15","  15","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","32062","Greek (GREEK) Open Sections"," 437","001","Thucydides","REC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","10-1130AM","1507 CCL","Schironi","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11500","Greek (GREEK) Open Sections"," 503","001","Elementary Greek","REC","P R","M","T","W","TH","","","","01/03/2018","04/17/2018","9-10AM","2163 AH","Sells","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","23680","Greek (GREEK) Open Sections"," 504","001","Intens Elem Greek","REC","P R","M","","W","","","","","01/03/2018","04/17/2018","9-11AM","5180B AH","Berlin","  20","  20","Y","6.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","23680","Greek (GREEK) Open Sections"," 504","001","Intens Elem Greek","REC","P R","","T","","TH","","","","01/03/2018","04/17/2018","9-10AM","2271 AH","","  20","  20","Y","6.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31836","Greek (GREEK) Open Sections"," 506","001","Adv Greek Comp","LEC","P  ","","","W","","F","","","01/03/2018","04/17/2018","1130-1PM","3314 MH","Scodel","  15","  15","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11501","Greek (GREEK) Open Sections"," 508","001","Second Yr Greek I I","REC","P  ","M","T","W","TH","","","","01/03/2018","04/17/2018","11-12PM","1303 MH","Janko","  17","  17","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","32063","Greek (GREEK) Open Sections"," 523","001","Thucydides","REC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","10-1130AM","1507 CCL","Schironi","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31837","Greek (GREEK) Open Sections"," 602","001","Classics Profession","SEM","P  ","","","W","","","","","01/03/2018","04/17/2018","3-5PM","ARR","Scodel","  15","  15","N","1.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31838","Greek (GREEK) Open Sections"," 636","001","Palaeo&Text Critic","SEM","P  ","","T","","TH","","","","01/03/2018","04/17/2018","1-230PM","ARR","Janko","  12","  12","N","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31839","Greek (GREEK) Open Sections"," 807","001","Aristophanes","SEM","P  ","M","","","","","","","01/03/2018","04/17/2018","2-5PM","1303 MH","Sells","  15","  15","N","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11776","Modern Greek (GREEKMOD) Open Sections"," 102","001","Elem Mod Greek II","REC","P  ","M","T","W","TH","","","","01/03/2018","04/17/2018","12-1PM","3315 MH","Margomenou","  20","  20","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11777","Modern Greek (GREEKMOD) Open Sections"," 202","001","2nd Yr M Gk II","REC","P  ","M","T","W","TH","","","","01/03/2018","04/17/2018","11-12PM","3315 MH","Margomenou","  15","  15","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","20405","Modern Greek (GREEKMOD) Open Sections"," 325","001","Athens: Present&Past","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","230-4PM","3463 MH","Margomenou","  50","  50","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","27851","Modern Greek (GREEKMOD) Open Sections"," 330","001","Reporting the World","REC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","830-10AM","G437 MH","Leontis","  10","  10","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11779","Modern Greek (GREEKMOD) Open Sections"," 502","001","Elementary I I","REC","PI ","M","T","W","TH","","","","01/03/2018","04/17/2018","12-1PM","3315 MH","Margomenou","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11780","Modern Greek (GREEKMOD) Open Sections"," 504","001","2nd Yr Mod Grk II","REC","PI ","M","T","W","TH","","","","01/03/2018","04/17/2018","11-12PM","3315 MH","Margomenou","  15","  15","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31422","Great Books (GTBOOKS) Open Sections"," 212","002","Gt Bks in World Lit","REC","P  ","","","","TH","","","","01/03/2018","04/17/2018","230-4PM","3356 MH","","  12","  12","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31423","Great Books (GTBOOKS) Open Sections"," 212","003","Gt Bks in World Lit","REC","P  ","","","","","F","","","01/03/2018","04/17/2018","1130-1PM","2024 TISCH","","  12","  12","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31424","Great Books (GTBOOKS) Open Sections"," 212","004","Gt Bks in World Lit","REC","P  ","","","","TH","","","","01/03/2018","04/17/2018","1-230PM","3356 MH","Tang","  12","  12","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31421","Great Books (GTBOOKS) Open Sections"," 212","001","Gt Bks in World Lit","LEC","A  ","","","W","","","","","01/03/2018","04/17/2018","1-230PM","3330 MH","Tang"," "," "," ","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11584","Latin (LATIN) Open Sections"," 101","001","Elementary Latin I","REC","P  ","M","T","","TH","F","","","01/03/2018","04/17/2018","12-1PM","2163 AH","","  18","  18","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11585","Latin (LATIN) Open Sections"," 101","002","Elementary Latin I","REC","P  ","M","T","","TH","F","","","01/03/2018","04/17/2018","1-2PM","2163 AH","","  18","  18","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11586","Latin (LATIN) Open Sections"," 102","001","Elementary Latin II","REC","P R","M","T","","TH","F","","","01/03/2018","04/17/2018","10-11AM","7603 HH","","  18","  18","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11587","Latin (LATIN) Open Sections"," 102","002","Elementary Latin II","REC","P R","M","T","","TH","F","","","01/03/2018","04/17/2018","12-1PM","2347 MH","","  18","  18","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11588","Latin (LATIN) Open Sections"," 102","003","Elementary Latin II","REC","P R","M","T","","TH","F","","","01/03/2018","04/17/2018","1-2PM","2333 MH","","  18","  18","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","23367","Latin (LATIN) Open Sections"," 231","002","Roman Kings&Emp","REC","P R","M","T","W","TH","","","","01/03/2018","04/17/2018","12-1PM","7603 HH","Ross","  15","  15","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11589","Latin (LATIN) Open Sections"," 231","001","Roman Kings&Emp","REC","P R","M","T","W","TH","","","","01/03/2018","04/17/2018","11-12PM","2163 AH","Ross","  20","  20","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","23490","Latin (LATIN) Open Sections"," 232","001","Vergil-Aeneid","REC","P R","M","T","","TH","F","","","01/03/2018","04/17/2018","9-10AM","7603 HH","Soter","  18","  18","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11590","Latin (LATIN) Open Sections"," 232","002","Vergil-Aeneid","REC","P R","M","T","","TH","F","","","01/03/2018","04/17/2018","10-11AM","2163 AH","","  18","  18","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","21872","Latin (LATIN) Open Sections"," 232","003","Vergil-Aeneid","REC","P R","M","T","","TH","F","","","01/03/2018","04/17/2018","1-2PM","3448 MH","","  18","  18","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","23285","Latin (LATIN) Open Sections"," 233","001","Late Latin","REC","P R","M","T","W","TH","","","","01/03/2018","04/17/2018","4-5PM","2163 AH","Markus","  14","  14","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","22642","Latin (LATIN) Open Sections"," 295","001","Intensive Latin II","SEM","P  ","M","T","","TH","F","","","01/03/2018","04/17/2018","11-1PM","1507 EQ","Soter","  15","  15","Y","8.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","14353","Latin (LATIN) Open Sections"," 301","001","Intermediate Latin","REC","P  ","M","","W","","","","","01/03/2018","04/17/2018","1130-1PM","ARR","Markus","  23","  23","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31861","Latin (LATIN) Open Sections"," 402","001","Imperial Prose","REC","P  ","M","","W","","F","","","01/03/2018","04/17/2018","10-11AM","5521 HH","Fortson","  15","  15","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31862","Latin (LATIN) Open Sections"," 435","001","Postclassic Latin I","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","230-4PM","2163 AH","Markus","  12","  12","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31863","Latin (LATIN) Open Sections"," 480","001","Adv Latin Reading","REC","P  ","M","","W","","F","","","01/03/2018","04/17/2018","9-10AM","49 UMMA","Fielding","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","22103","Latin (LATIN) Open Sections"," 505","001","Intermediate Latin","REC","P  ","M","","W","","","","","01/03/2018","04/17/2018","1130-1PM","ARR","Markus","  23","  23","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","23499","Latin (LATIN) Open Sections"," 507","001","Late Latin","REC","P  ","M","T","W","TH","","","","01/03/2018","04/17/2018","4-5PM","2163 AH","Markus","  14","  14","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","32197","Latin (LATIN) Open Sections"," 508","001","Latin Sight Reading","REC","P  ","","T","","","","","","01/03/2018","04/17/2018","9-10AM","ARR","Schultz","   5","   5","N","1.00-2.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31864","Latin (LATIN) Open Sections"," 510","001","Roman Comedy","REC","P  ","M","","W","","","","","01/03/2018","04/17/2018","1130-1PM","49 UMMA","Caston","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31866","Latin (LATIN) Open Sections"," 592","001","Hist Roman Lit II","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","4-530PM","2038 TISCH","Dufallo","  15","  15","N","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31871","Latin (LATIN) Open Sections"," 602","001","Classics Profession","SEM","P  ","","","W","","","","","01/03/2018","04/17/2018","3-5PM","ARR","Scodel","  15","  15","N","1.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","31865","Latin (LATIN) Open Sections"," 808","001","Roman Historiography","SEM","P  ","","","","","F","","","01/03/2018","04/17/2018","2-5PM","G437 MH","Schultz","  15","  15","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11213","Communication Studies (COMM) Open Sections"," 101","002","The Mass Media","DIS","P R","","","","TH","","","","01/03/2018","04/17/2018","4-5PM","2022 STB","","  20","  20","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11214","Communication Studies (COMM) Open Sections"," 101","003","The Mass Media","DIS","P R","","","","TH","","","","01/03/2018","04/17/2018","5-6PM","B134 MLB","","  20","  20","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11215","Communication Studies (COMM) Open Sections"," 101","004","The Mass Media","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","9-10AM","1110 NQ","","  20","  20","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11216","Communication Studies (COMM) Open Sections"," 101","005","The Mass Media","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","10-11AM","1110 NQ","","  20","  20","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11217","Communication Studies (COMM) Open Sections"," 101","006","The Mass Media","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","12-1PM","1110 NQ","","  20","  20","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11218","Communication Studies (COMM) Open Sections"," 101","007","The Mass Media","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","1-2PM","1110 NQ","","  20","  20","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11219","Communication Studies (COMM) Open Sections"," 101","008","The Mass Media","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","3-4PM","1110 NQ","","  20","  20","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11220","Communication Studies (COMM) Open Sections"," 101","009","The Mass Media","DIS","P R","","","","TH","","","","01/03/2018","04/17/2018","6-7PM","1110 NQ","","  20","  20","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11221","Communication Studies (COMM) Open Sections"," 101","010","The Mass Media","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","9-10AM","1245 NQ","","  20","  20","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11212","Communication Studies (COMM) Open Sections"," 101","001","The Mass Media","LEC","A R","","T","","TH","","","","01/03/2018","04/17/2018","1-230PM","AUD NS","Douglas"," "," "," ","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11223","Communication Studies (COMM) Open Sections"," 102","002","Process & Effects","DIS","P R","","","","TH","","","","01/03/2018","04/17/2018","6-7PM","1245 NQ","","  15","  15","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11224","Communication Studies (COMM) Open Sections"," 102","003","Process & Effects","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","11-12PM","1110 NQ","","  15","  15","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11225","Communication Studies (COMM) Open Sections"," 102","004","Process & Effects","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","3-4PM","1245 NQ","","  15","  15","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11226","Communication Studies (COMM) Open Sections"," 102","005","Process & Effects","DIS","P R","","","","TH","","","","01/03/2018","04/17/2018","6-7PM","B134 MLB","","  15","  15","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11227","Communication Studies (COMM) Open Sections"," 102","006","Process & Effects","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","9-10AM","2022 STB","","  15","  15","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11228","Communication Studies (COMM) Open Sections"," 102","007","Process & Effects","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","10-11AM","3230 USB","","  15","  15","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11229","Communication Studies (COMM) Open Sections"," 102","008","Process & Effects","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","12-1PM","1245 NQ","","  15","  15","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11230","Communication Studies (COMM) Open Sections"," 102","009","Process & Effects","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","1-2PM","1245 NQ","","  15","  15","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11231","Communication Studies (COMM) Open Sections"," 102","010","Process & Effects","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","3-4PM","1185 NQ","","  15","  15","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","11222","Communication Studies (COMM) Open Sections"," 102","001","Process & Effects","LEC","A R","","T","","TH","","","","01/03/2018","04/17/2018","230-4PM","AUD 4 MLB","Kwak"," "," "," ","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","25515","Communication Studies (COMM) Open Sections"," 159","001","FYS in Media Issues","SEM","P R","","T","","TH","","","","01/03/2018","04/17/2018","230-4PM","1245 NQ","Vaillant","  18","  18","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","26517","Communication Studies (COMM) Open Sections"," 159","002","FYS in Media Issues","SEM","P R","M","","W","","","","","01/03/2018","04/17/2018","4-530PM","1110 NQ","Collings","  18","  18","Y","3.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","20854","Communication Studies (COMM) Open Sections"," 251","002","Media Industries","DIS","P  ","","","","TH","","","","01/03/2018","04/17/2018","9-10AM","1245 NQ","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","20855","Communication Studies (COMM) Open Sections"," 251","003","Media Industries","DIS","P  ","","","","TH","","","","01/03/2018","04/17/2018","4-5PM","1245 NQ","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","20856","Communication Studies (COMM) Open Sections"," 251","004","Media Industries","DIS","P  ","","","","TH","","","","01/03/2018","04/17/2018","5-6PM","1245 NQ","","  25","  25","Y","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","20853","Communication Studies (COMM) Open Sections"," 251","001","Media Industries","LEC","A  ","M","","W","","","","","01/03/2018","04/17/2018","10-1130AM","1300 CHEM","Draper"," "," "," ","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","18070","Communication Studies (COMM) Open Sections"," 261","002","Views on the News","DIS","P R","","T","","","","","","01/03/2018","04/17/2018","3-4PM","2185 NQ","","  18","  18","N","4.00",
"Winter 2018","Regular Academic Session","Literature, Science & the Arts","23187","Communication Studies (COMM) Open Sections"," 261","003","Views on the News","DIS","P R","","T","","","","","","01/03/2018","04/17/2018","4-5PM","3427 MH","","  18","  18","N","4.00",
